"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11633","userCannotTransferInValidAmountTest(double, String) [3] amount=-995925.81, errorMessage=Invalid transfer: insufficient funds or invalid accounts","","Tue Feb 03 17:25:52 UTC 2026","passed","Tue Feb 03 17:26:04 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferInValidAmountTest"
"","3584","userCannotDepositInvalidAmountToOwnAccountTest(double, String) [4] amount=795725.87, errorMessage=Deposit amount exceeds the 5000 limit","","Tue Feb 03 17:26:03 UTC 2026","passed","Tue Feb 03 17:26:06 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountToOwnAccountTest"
"","0","userCannotTransferMoneyWithoutConfirmTest()","","Tue Feb 03 17:25:35 UTC 2026","skipped","Tue Feb 03 17:25:35 UTC 2026","","ui.iteration2.TransferMoneyUserTest","ui.iteration2.TransferMoneyUserTest","userCannotTransferMoneyWithoutConfirmTest"
"","5026","userCanDepositValidAmountToOwnAccountTest(double) [2] amount=5000.0","","Tue Feb 03 17:25:58 UTC 2026","passed","Tue Feb 03 17:26:03 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCanDepositValidAmountToOwnAccountTest"
"","6","testTransferWithFraudCheck()","","Tue Feb 03 17:25:34 UTC 2026","skipped","Tue Feb 03 17:25:34 UTC 2026","","api.iteration2.TransferWithFraudCheckTest","api.iteration2.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","7778","userCannotSetInvalidNameTest(String, BankAlert) [2] name=, alert=NAME_VALID_ERROR","","Tue Feb 03 17:25:55 UTC 2026","passed","Tue Feb 03 17:26:03 UTC 2026","","ui.iteration2.UpdateUserProfileNameTest","ui.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","7140","userCannotTransferInValidAmountTest(double, String) [1] amount=0.0, errorMessage=Invalid transfer: insufficient funds or invalid accounts","","Tue Feb 03 17:26:02 UTC 2026","passed","Tue Feb 03 17:26:09 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferInValidAmountTest"
"","0","userCanTransferAgainTest()","","Tue Feb 03 17:25:35 UTC 2026","skipped","Tue Feb 03 17:25:35 UTC 2026","","ui.iteration2.TransferMoneyUserTest","ui.iteration2.TransferMoneyUserTest","userCanTransferAgainTest"
"","12939","adminCanCreateUserTest()","","Tue Feb 03 17:25:44 UTC 2026","passed","Tue Feb 03 17:25:57 UTC 2026","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCanCreateUserTest"
"","14753","userCannotDepositInvalidAmountTest(double, BankAlert) [1] depositAmount=-638272.88, alert=VALID_DEPOSIT_ERROR","","Tue Feb 03 17:25:47 UTC 2026","passed","Tue Feb 03 17:26:02 UTC 2026","","ui.iteration2.DepositMoneyUserTest","ui.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountTest"
